tee_id,course_id,facility_id,course_name,tee_name,tee_color,course_par_for_tee,rating,slope,hole1,hole2,hole3,hole4,hole5,hole6,hole7,hole8,hole9,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,total_distance,hole1_par,hole2_par,hole3_par,hole4_par,hole5_par,hole6_par,hole7_par,hole8_par,hole9_par,hole10_par,hole11_par,hole12_par,hole13_par,hole14_par,hole15_par,hole16_par,hole17_par,hole18_par,hole1_handicap,hole2_handicap,hole3_handicap,hole4_handicap,hole5_handicap,hole6_handicap,hole7_handicap,hole8_handicap,hole9_handicap,hole10_handicap,hole11_handicap,hole12_handicap,hole13_handicap,hole14_handicap,hole15_handicap,hole16_handicap,hole17_handicap,hole18_handicap
GBR-TOF-0001-01-05,GBR-TOF-0001-01,Greenmeadow Golf and Country Club,Green Meadows,Red (L),Red,71,69.9,128,135,406,373,265,168,433,125,264,336,363,124,428,187,276,304,248,280,370,5085,3,5,4,4,3,5,3,4,4,4,3,5,3,4,4,4,4,5,18,8,2,16,12,6,14,10,4,3,17,1,9,11,5,7,15,13
GBR-TWR-0001-01-01,GBR-TWR-0001-01,Heworth Golf Club,Heworth,White,White,71,69.6,121,343,367,124,386,437,179,389,378,502,445,565,471,510,299,158,306,409,230,6498,4,4,3,4,4,3,4,4,5,4,5,4,5,4,3,4,4,3,10,8,18,6,2,14,4,12,16,5,7,1,13,17,11,15,3,9
GBR-TWR-0001-01-02,GBR-TWR-0001-01,Heworth Golf Club,Heworth,Yellow,Yellow,71,68.4,123,323,322,119,383,424,163,370,344,475,432,557,435,495,295,151,297,396,222,6203,4,4,3,4,4,3,4,4,5,4,5,4,5,4,3,4,4,3,10,8,18,6,2,14,4,12,16,5,7,1,13,17,11,15,3,9
GBR-TWR-0001-01-03,GBR-TWR-0001-01,Heworth Golf Club,Heworth,Red (L),Red,73,72,130,311,298,114,322,360,159,365,333,419,397,473,423,455,296,143,248,315,212,5643,4,4,3,4,4,3,4,4,5,4,5,5,5,4,3,4,4,4,6,12,18,10,2,16,4,9,8,3,1,14,5,11,13,15,7,17
GBR-TYR-0009-01-01,GBR-TYR-0009-01,Clogher Valley Golf Club,Clogher Valley,White - Front,White,34,31.2,101,316,325,73,276,251,160,334,139,440,~,~,~,~,~,~,~,~,~,2314,4,4,3,4,4,3,4,3,5,~,~,~,~,~,~,~,~,~,2,9,18,6,16,10,3,13,8,~,~,~,~,~,~,~,~,~
GBR-TYR-0009-01-02,GBR-TYR-0009-01,Clogher Valley Golf Club,Clogher Valley,White - Back,White,33,31,101,292,348,73,258,251,160,334,117,351,~,~,~,~,~,~,~,~,~,2184,4,4,3,4,4,3,4,3,4,~,~,~,~,~,~,~,~,~,7,5,17,12,14,11,4,15,1,~,~,~,~,~,~,~,~,~
GBR-VGL-0001-01-01,GBR-VGL-0001-01,Brynhill Golf Club,Brynhill,White,White,72,71.4,122,452,301,151,521,441,296,424,299,154,366,474,188,315,404,469,165,375,559,6354,4,4,3,5,4,4,4,4,3,4,5,3,4,4,5,3,4,5,5,15,11,7,1,13,3,17,9,12,16,8,2,4,18,14,6,10
GBR-VGL-0001-01-02,GBR-VGL-0001-01,Brynhill Golf Club,Brynhill,Yellow,Yellow,72,70,121,432,297,148,490,395,287,401,294,132,338,463,175,303,395,458,152,365,554,6079,4,4,3,5,4,4,4,4,3,4,5,3,4,4,5,3,4,5,5,15,11,7,1,13,3,17,9,12,16,8,2,4,18,14,6,10
GBR-VGL-0001-01-03,GBR-VGL-0001-01,Brynhill Golf Club,Brynhill,Red (L),Red,74,72.1,127,421,287,144,414,408,287,392,255,108,292,400,163,286,337,403,121,284,395,5397,5,4,3,5,5,4,4,4,3,4,5,3,4,4,5,3,4,5,5,11,13,1,9,3,7,15,17,10,8,12,2,4,16,14,6,18
GBR-WAR-0001-01-02,GBR-WAR-0001-01,Forest of Arden-Aylesford Golf Club,Forest of Arden-Aylesford,White,White,69,68.9,129,377,447,481,185,268,133,340,285,409,151,378,186,386,377,400,168,348,482,5801,4,4,5,3,4,3,4,4,4,3,4,3,4,4,4,3,4,5,8,2,12,10,18,16,6,14,4,13,3,11,1,7,5,17,15,9
GBR-WAR-0001-01-03,GBR-WAR-0001-01,Forest of Arden-Aylesford Golf Club,Forest of Arden-Aylesford,Yellow,Yellow,69,67.8,125,369,441,476,152,257,125,330,280,379,142,347,179,372,369,395,148,343,475,5579,4,4,5,3,4,3,4,4,4,3,4,3,4,4,4,3,4,5,8,2,12,10,18,16,6,14,4,13,3,11,1,7,5,17,15,9
GBR-WAR-0001-01-01,GBR-WAR-0001-01,Forest of Arden-Aylesford Golf Club,Forest of Arden-Aylesford,Red (L),Red,69,70.3,127,350,435,381,150,236,115,253,263,352,133,301,164,347,356,378,135,318,401,5068,4,5,4,3,4,3,4,4,4,3,4,3,4,4,4,3,4,5,6,8,2,14,18,16,12,10,4,9,7,15,1,5,3,17,13,11
